issue_key,title,description_text,type,priority,status,resolution,story_point,comment_text,project_name
PROJ-131,"Implement real-time collaboration","As a team member, I want to see others edits in real-time so that we can work on the same document simultaneously.",Story,Major,Open,Unresolved,21,"CRDT-based approach for conflict-free merging. WebSocket for transport. Operational Transform is an alternative but more complex.",CollabEngine
PROJ-132,"Add commenting and annotation system","As a reviewer, I want to leave comments on specific elements so that I can provide targeted feedback.",Story,Major,Closed,Done,8,"Anchor comments to document positions. Support threaded replies. Resolve/unresolve workflow for actionable items.",CollabEngine
PROJ-133,"Implement presence indicators","As a user, I want to see who else is viewing the same page so that I know when to coordinate on changes.",Story,Minor,Closed,Done,3,"WebSocket-based presence. Show avatar/cursor positions. Auto-expire after 30s of inactivity.",CollabEngine
PROJ-134,"Add change history and rollback","As a user, I want to see the history of changes and revert to previous versions so that I can recover from mistakes.",Story,Major,"In Progress",Unresolved,8,"Store snapshots at meaningful intervals not every keystroke. Diff visualization between versions. One-click rollback.",CollabEngine
PROJ-135,"Create onboarding tutorial system","As a new user, I want guided tutorials so that I can learn the system quickly without external documentation.",Story,Major,Closed,Done,8,"Step-by-step overlay guides. Track completion per user. Allow skip and resume later. Context-sensitive help tooltips.",UserExperience
PROJ-136,"Implement user feedback collection","As a product manager, I want to collect user feedback in-app so that I can understand pain points and priorities.",Story,Minor,Closed,Done,5,"NPS survey after key milestones. Contextual feedback button on every page. Aggregate results in admin dashboard.",UserExperience
PROJ-137,"Add customizable workspace layouts","As a power user, I want to arrange my workspace panels so that I can optimize my workflow for my specific tasks.",Story,Major,Open,Unresolved,8,"Drag-and-drop panel arrangement. Save layouts per user. Provide default layouts for common workflows.",UserExperience
PROJ-138,"Implement undo/redo system","As a user, I want to undo and redo actions so that I can quickly correct mistakes without navigating to edit forms.",Story,Major,"In Progress",Unresolved,8,"Command pattern for action history. Support multi-level undo (at least 20 steps). Persist across page navigations.",UserExperience
PROJ-139,"Set up automated security scanning","As a security engineer, I want automated vulnerability scanning so that security issues are caught before deployment.",Story,Major,Closed,Done,5,"SAST in CI pipeline. Dependency audit on every build. DAST against staging environment weekly.",SecurityOps
PROJ-140,"Implement audit logging","As a compliance officer, I want comprehensive audit logs so that all system actions are traceable.",Story,Major,Closed,Done,8,"Log who did what and when and from where. Immutable append-only storage. Retention policy: 7 years for financial data.",SecurityOps
PROJ-141,"Add two-factor authentication","As a security-conscious user, I want 2FA so that my account is protected even if my password is compromised.",Story,Major,Closed,Done,8,"TOTP-based (Google Authenticator compatible). Backup codes for recovery. Enforce for admin accounts.",SecurityOps
PROJ-142,"Implement secrets management","As a DevOps engineer, I want centralized secrets management so that credentials are not stored in code or config files.",Story,Major,Open,Unresolved,5,"HashiCorp Vault or AWS Secrets Manager. Rotate secrets automatically. Audit access to secrets.",SecurityOps
PROJ-143,"Create performance testing framework","As a QA engineer, I want automated performance tests so that regressions are detected before production.",Story,Major,Closed,Done,8,"k6 or JMeter for load testing. Baseline metrics for key flows. Run against staging on every release candidate.",QualityAssurance
PROJ-144,"Implement visual regression testing","As a QA engineer, I want automated visual comparisons so that UI changes are detected and reviewed.",Story,Major,Open,Unresolved,5,"Percy or Chromatic integration. Screenshot comparison for key pages. Acceptable diff threshold: 0.1%.",QualityAssurance
PROJ-145,"Add API contract testing","As a developer, I want API contract tests so that breaking changes to APIs are detected immediately.",Story,Major,Closed,Done,5,"Pact or similar consumer-driven contract testing. Generate contracts from OpenAPI spec. Run in CI on every PR.",QualityAssurance
PROJ-146,"Implement chaos engineering practices","As a SRE, I want controlled failure injection so that we can verify system resilience under adverse conditions.",Story,Major,Open,Unresolved,13,"Start with simple experiments: kill random pods and inject network latency. Gradually increase blast radius.",QualityAssurance
PROJ-147,"Design microservice communication patterns","As an architect, I want standardized inter-service communication so that services can evolve independently.",Story,Major,Closed,Done,8,"Synchronous: gRPC for internal and REST for external. Asynchronous: message queue for event-driven flows.",Architecture
PROJ-148,"Implement circuit breaker pattern","As a developer, I want circuit breakers on external calls so that cascading failures are prevented.",Story,Major,Closed,Done,5,"Three states: closed and open and half-open. Configure thresholds per dependency. Expose metrics for monitoring.",Architecture
PROJ-149,"Implement event-driven architecture","As an architect, I want event-driven communication between services so that they are loosely coupled and independently deployable.",Story,Major,"In Progress",Unresolved,13,"Event bus with guaranteed delivery. Schema registry for event contracts. Dead letter queue for failed processing.",Architecture
PROJ-150,"Create admin user management panel","As an admin, I want to manage users from a web interface so that I do not need database access for routine operations.",Story,Major,Closed,Done,8,"CRUD operations for users. Bulk import via CSV. Role assignment interface. Activity log per user.",AdminPanel
PROJ-151,"Implement system configuration UI","As an admin, I want to modify system settings through the UI so that configuration changes do not require redeployment.",Story,Major,Closed,Done,5,"Group settings by category. Validate before save. Show which settings require restart. Audit config changes.",AdminPanel
PROJ-152,"Add system health dashboard","As an admin, I want a health overview dashboard so that I can quickly assess system status without checking multiple tools.",Story,Major,Open,Unresolved,8,"Aggregate metrics from all services. Traffic light status indicators. Auto-refresh every 30 seconds.",AdminPanel
PROJ-153,"Implement backup and restore functionality","As an admin, I want automated backups with easy restore so that data can be recovered in case of failure.",Story,Major,Open,Unresolved,8,"Scheduled backups with configurable retention. Point-in-time recovery. Test restores automatically.",AdminPanel
PROJ-154,"Implement email notification service","As a user, I want email notifications for important events so that I stay informed even when not actively using the system.",Story,Major,Closed,Done,5,"Template-based emails. Queue for reliable delivery. Unsubscribe link in every email. SPF/DKIM for deliverability.",NotificationService
PROJ-155,"Add push notification support","As a mobile user, I want push notifications so that I receive timely updates on my device.",Story,Major,Open,Unresolved,8,"Firebase Cloud Messaging for cross-platform. Web Push API for browser. Respect quiet hours per user timezone.",NotificationService
PROJ-156,"Implement notification batching","As a user, I want notification digests so that I receive a summary instead of individual notifications for related events.",Story,Minor,Open,Unresolved,5,"Configurable batch window (5min/1hr/daily). Group by source/type. Smart summary generation.",NotificationService
PROJ-157,"Create notification center UI","As a user, I want a centralized notification inbox so that I can review all notifications in one place.",Story,Major,Closed,Done,5,"Mark as read/unread. Filter by type. Clear all. Badge count on navigation icon. Persistent across sessions.",NotificationService
PROJ-158,"Implement user authentication module (Phase 2)","As a user, I want to log in with my credentials so that I can access my personalized dashboard securely.",Story,Major,Closed,Done,8,"Have we considered OAuth2 integration? The current implementation should support token-based auth for API consumers.",AuthService
PROJ-159,"Add password reset functionality (Phase 2)","As a user, I want to reset my password via email so that I can regain access if I forget my credentials.",Story,Major,Closed,Done,5,"Make sure the reset token expires after 24 hours. Also verify the email template renders correctly on mobile clients.",AuthService
PROJ-160,"Implement role-based access control (Phase 2)","As an admin, I want to assign roles to users so that I can control access to different system features.",Story,Major,Closed,Done,13,"Consider using a permission matrix rather than simple role hierarchy. This gives more flexibility for custom roles later.",AuthService
PROJ-161,"Add API rate limiting (Phase 2)","As a system administrator, I want to limit API requests per user so that the system remains stable under heavy usage.",Story,Major,Open,Unresolved,5,"We need to decide between sliding window and token bucket algorithms. Token bucket is more forgiving for burst traffic.",APIGateway
PROJ-162,"Create API documentation endpoint (Phase 2)","As a developer, I want auto-generated API docs so that I can understand available endpoints without reading source code.",Story,Major,Closed,Done,5,"Swagger/OpenAPI 3.0 format preferred. Include request/response examples for each endpoint.",APIGateway
PROJ-163,"Implement webhook notification system (Phase 2)","As an integrator, I want to receive webhook notifications for key events so that I can build automated workflows.",Story,Major,"In Progress",Unresolved,13,"Consider retry logic with exponential backoff for failed webhook deliveries. Also need a dead letter queue for permanent failures.",APIGateway
PROJ-164,"Design responsive dashboard layout (Phase 2)","As a user, I want a responsive dashboard so that I can use the application on both desktop and mobile devices.",Story,Major,Closed,Done,8,"Mobile-first approach recommended. Use CSS Grid for the main layout and Flexbox for component-level arrangements.",WebPortal
PROJ-165,"Implement dark mode toggle (Phase 2)","As a user, I want to switch between light and dark themes so that I can use the app comfortably in different environments.",Story,Minor,Closed,Done,3,"Store preference in localStorage and respect system prefers-color-scheme media query as default.",WebPortal
PROJ-166,"Add keyboard navigation support (Phase 2)","As a user with accessibility needs, I want full keyboard navigation so that I can use the application without a mouse.",Story,Major,Open,Unresolved,8,"WCAG 2.1 AA compliance is the minimum target. Focus management for modal dialogs is critical.",WebPortal
PROJ-167,"Create reusable form validation library (Phase 2)","As a developer, I want a shared validation library so that form validation is consistent across all modules.",Story,Major,Closed,Done,8,"Support both synchronous and async validators. Schema-based validation (like Zod or Yup patterns) would be ideal.",WebPortal
PROJ-168,"Add export to PDF functionality (Phase 2)","As a user, I want to export reports as PDF so that I can share them with stakeholders who dont have system access.",Story,Major,"In Progress",Unresolved,8,"Server-side rendering preferred for consistent output. Consider Puppeteer or wkhtmltopdf for the generation pipeline.",WebPortal
PROJ-169,"Implement search with autocomplete (Phase 2)","As a user, I want search suggestions as I type so that I can find items quickly without knowing exact names.",Story,Major,Closed,Done,5,"Debounce input at 300ms minimum. Cache recent results client-side to reduce API calls for repeated searches.",WebPortal
PROJ-170,"Set up CI/CD pipeline (Phase 2)","As a developer, I want automated build and deployment so that code changes are tested and deployed consistently.",Story,Major,Closed,Done,8,"GitHub Actions recommended. Include lint/test/build/deploy stages. Gate deployments on test passage.",DevOps
PROJ-171,"Implement database migration system (Phase 2)","As a developer, I want versioned database migrations so that schema changes are reproducible across environments.",Story,Major,Closed,Done,5,"Migration files should be idempotent. Include both up and down migrations for rollback capability.",DevOps
PROJ-172,"Configure monitoring and alerting (Phase 2)","As a SRE, I want system monitoring with alerts so that I can respond to issues before users are impacted.",Story,Major,Open,Unresolved,8,"Prometheus + Grafana stack. Alert on: error rate > 1% and p99 latency > 2s and disk usage > 80%.",DevOps
PROJ-173,"Implement blue-green deployment (Phase 2)","As a DevOps engineer, I want zero-downtime deployments so that users are not affected during releases.",Story,Major,Open,Unresolved,13,"Start with simple approach: spin up new version and swap load balancer target. Health check endpoint is prerequisite.",DevOps
PROJ-174,"Create data import wizard (Phase 2)","As an admin, I want a guided import process so that I can migrate data from legacy systems without technical knowledge.",Story,Major,"In Progress",Unresolved,13,"Support CSV and JSON formats initially. Validate data before import and provide detailed error report for invalid rows.",DataPlatform
PROJ-175,"Implement data versioning (Phase 2)","As a data analyst, I want to see historical versions of records so that I can track changes over time.",Story,Major,Closed,Done,8,"Event sourcing pattern for critical entities. Store diffs rather than full snapshots to minimize storage costs.",DataPlatform
PROJ-176,"Add bulk operations API (Phase 2)","As a power user, I want to perform bulk updates so that I can manage large datasets efficiently.",Story,Major,Closed,Done,5,"Batch size limit of 1000 per request. Use database transactions for atomicity. Return detailed per-item results.",DataPlatform
PROJ-177,"Implement data archival policy (Phase 2)","As a system admin, I want automated data archival so that the primary database remains performant.",Story,Minor,Open,Unresolved,8,"Archive records older than 2 years to cold storage. Maintain queryable index for archived data.",DataPlatform
PROJ-178,"Create notification preferences system (Phase 2)","As a user, I want to control which notifications I receive so that I am not overwhelmed by irrelevant alerts.",Story,Major,Closed,Done,5,"Per-channel preferences (email/push/in-app). Default to all enabled. Batch digest option for low-priority notifications.",DataPlatform
PROJ-179,"Implement full-text search (Phase 2)","As a user, I want to search across all text fields so that I can find relevant records regardless of which field contains the match.",Story,Major,"In Progress",Unresolved,8,"Elasticsearch for the search index. Keep it as a read-optimized projection synced from primary DB via change data capture.",DataPlatform
PROJ-180,"Add data quality dashboard (Phase 2)","As a data steward, I want visibility into data quality metrics so that I can identify and address data issues proactively.",Story,Major,Open,Unresolved,8,"Track completeness and consistency and timeliness. Flag records failing validation rules. Weekly trend reports.",DataPlatform
PROJ-181,"Implement multi-language support (Phase 2)","As a user, I want the application in my preferred language so that I can use it without language barriers.",Story,Major,"In Progress",Unresolved,13,"Use i18n framework with JSON translation files. Support RTL layouts for Arabic/Hebrew. Pluralization rules vary by language.",Internationalization
PROJ-182,"Create translation management workflow (Phase 2)","As a translator, I want a structured workflow for managing translations so that I can efficiently maintain language packs.",Story,Major,Open,Unresolved,8,"Crowdin or Lokalise integration for professional translation management. Auto-detect untranslated strings in CI.",Internationalization
PROJ-183,"Add currency formatting support (Phase 2)","As a user, I want monetary values displayed in my local currency format so that financial data is immediately understandable.",Story,Minor,Closed,Done,3,"Intl.NumberFormat handles most cases. Store amounts in smallest unit (cents) with currency code. Format at display only.",Internationalization
PROJ-184,"Design plugin architecture (Phase 2)","As a developer, I want to extend the system via plugins so that custom functionality can be added without modifying core code.",Story,Major,"In Progress",Unresolved,13,"Event-driven plugin system. Plugins register hooks for lifecycle events. Sandboxed execution for security.",PluginFramework
PROJ-185,"Create plugin marketplace (Phase 2)","As an admin, I want to browse and install plugins from a marketplace so that I can extend functionality easily.",Story,Major,Open,Unresolved,13,"Start with curated list. Include version compatibility checks. Support auto-update with rollback capability.",PluginFramework
PROJ-186,"Implement plugin sandboxing (Phase 2)","As a security engineer, I want plugins to run in isolation so that a malicious plugin cannot compromise the core system.",Story,Major,Open,Unresolved,8,"VM-level isolation for server plugins. Content Security Policy for frontend plugins. API allowlist per plugin.",PluginFramework
PROJ-187,"Add plugin configuration UI (Phase 2)","As an admin, I want a visual interface for configuring plugins so that I do not need to edit configuration files manually.",Story,Minor,Closed,Done,5,"Schema-driven form generation. Plugin authors define config schema and UI renders appropriate controls automatically.",PluginFramework
PROJ-188,"Implement real-time collaboration (Phase 2)","As a team member, I want to see others edits in real-time so that we can work on the same document simultaneously.",Story,Major,Open,Unresolved,21,"CRDT-based approach for conflict-free merging. WebSocket for transport. Operational Transform is an alternative but more complex.",CollabEngine
PROJ-189,"Add commenting and annotation system (Phase 2)","As a reviewer, I want to leave comments on specific elements so that I can provide targeted feedback.",Story,Major,Closed,Done,8,"Anchor comments to document positions. Support threaded replies. Resolve/unresolve workflow for actionable items.",CollabEngine
PROJ-190,"Implement presence indicators (Phase 2)","As a user, I want to see who else is viewing the same page so that I know when to coordinate on changes.",Story,Minor,Closed,Done,3,"WebSocket-based presence. Show avatar/cursor positions. Auto-expire after 30s of inactivity.",CollabEngine
PROJ-191,"Add change history and rollback (Phase 2)","As a user, I want to see the history of changes and revert to previous versions so that I can recover from mistakes.",Story,Major,"In Progress",Unresolved,8,"Store snapshots at meaningful intervals not every keystroke. Diff visualization between versions. One-click rollback.",CollabEngine
PROJ-192,"Create onboarding tutorial system (Phase 2)","As a new user, I want guided tutorials so that I can learn the system quickly without external documentation.",Story,Major,Closed,Done,8,"Step-by-step overlay guides. Track completion per user. Allow skip and resume later. Context-sensitive help tooltips.",UserExperience
PROJ-193,"Implement user feedback collection (Phase 2)","As a product manager, I want to collect user feedback in-app so that I can understand pain points and priorities.",Story,Minor,Closed,Done,5,"NPS survey after key milestones. Contextual feedback button on every page. Aggregate results in admin dashboard.",UserExperience
PROJ-194,"Add customizable workspace layouts (Phase 2)","As a power user, I want to arrange my workspace panels so that I can optimize my workflow for my specific tasks.",Story,Major,Open,Unresolved,8,"Drag-and-drop panel arrangement. Save layouts per user. Provide default layouts for common workflows.",UserExperience
PROJ-195,"Implement undo/redo system (Phase 2)","As a user, I want to undo and redo actions so that I can quickly correct mistakes without navigating to edit forms.",Story,Major,"In Progress",Unresolved,8,"Command pattern for action history. Support multi-level undo (at least 20 steps). Persist across page navigations.",UserExperience
PROJ-196,"Set up automated security scanning (Phase 2)","As a security engineer, I want automated vulnerability scanning so that security issues are caught before deployment.",Story,Major,Closed,Done,5,"SAST in CI pipeline. Dependency audit on every build. DAST against staging environment weekly.",SecurityOps
PROJ-197,"Implement audit logging (Phase 2)","As a compliance officer, I want comprehensive audit logs so that all system actions are traceable.",Story,Major,Closed,Done,8,"Log who did what and when and from where. Immutable append-only storage. Retention policy: 7 years for financial data.",SecurityOps
PROJ-198,"Add two-factor authentication (Phase 2)","As a security-conscious user, I want 2FA so that my account is protected even if my password is compromised.",Story,Major,Closed,Done,8,"TOTP-based (Google Authenticator compatible). Backup codes for recovery. Enforce for admin accounts.",SecurityOps
PROJ-199,"Implement secrets management (Phase 2)","As a DevOps engineer, I want centralized secrets management so that credentials are not stored in code or config files.",Story,Major,Open,Unresolved,5,"HashiCorp Vault or AWS Secrets Manager. Rotate secrets automatically. Audit access to secrets.",SecurityOps
PROJ-200,"Create performance testing framework (Phase 2)","As a QA engineer, I want automated performance tests so that regressions are detected before production.",Story,Major,Closed,Done,8,"k6 or JMeter for load testing. Baseline metrics for key flows. Run against staging on every release candidate.",QualityAssurance
PROJ-201,"Implement visual regression testing (Phase 2)","As a QA engineer, I want automated visual comparisons so that UI changes are detected and reviewed.",Story,Major,Open,Unresolved,5,"Percy or Chromatic integration. Screenshot comparison for key pages. Acceptable diff threshold: 0.1%.",QualityAssurance
PROJ-202,"Add API contract testing (Phase 2)","As a developer, I want API contract tests so that breaking changes to APIs are detected immediately.",Story,Major,Closed,Done,5,"Pact or similar consumer-driven contract testing. Generate contracts from OpenAPI spec. Run in CI on every PR.",QualityAssurance
PROJ-203,"Implement chaos engineering practices (Phase 2)","As a SRE, I want controlled failure injection so that we can verify system resilience under adverse conditions.",Story,Major,Open,Unresolved,13,"Start with simple experiments: kill random pods and inject network latency. Gradually increase blast radius.",QualityAssurance
PROJ-204,"Design microservice communication patterns (Phase 2)","As an architect, I want standardized inter-service communication so that services can evolve independently.",Story,Major,Closed,Done,8,"Synchronous: gRPC for internal and REST for external. Asynchronous: message queue for event-driven flows.",Architecture
PROJ-205,"Implement circuit breaker pattern (Phase 2)","As a developer, I want circuit breakers on external calls so that cascading failures are prevented.",Story,Major,Closed,Done,5,"Three states: closed and open and half-open. Configure thresholds per dependency. Expose metrics for monitoring.",Architecture
PROJ-206,"Implement event-driven architecture (Phase 2)","As an architect, I want event-driven communication between services so that they are loosely coupled and independently deployable.",Story,Major,"In Progress",Unresolved,13,"Event bus with guaranteed delivery. Schema registry for event contracts. Dead letter queue for failed processing.",Architecture
PROJ-207,"Create admin user management panel (Phase 2)","As an admin, I want to manage users from a web interface so that I do not need database access for routine operations.",Story,Major,Closed,Done,8,"CRUD operations for users. Bulk import via CSV. Role assignment interface. Activity log per user.",AdminPanel
PROJ-208,"Implement system configuration UI (Phase 2)","As an admin, I want to modify system settings through the UI so that configuration changes do not require redeployment.",Story,Major,Closed,Done,5,"Group settings by category. Validate before save. Show which settings require restart. Audit config changes.",AdminPanel
PROJ-209,"Add system health dashboard (Phase 2)","As an admin, I want a health overview dashboard so that I can quickly assess system status without checking multiple tools.",Story,Major,Open,Unresolved,8,"Aggregate metrics from all services. Traffic light status indicators. Auto-refresh every 30 seconds.",AdminPanel
PROJ-210,"Implement backup and restore functionality (Phase 2)","As an admin, I want automated backups with easy restore so that data can be recovered in case of failure.",Story,Major,Open,Unresolved,8,"Scheduled backups with configurable retention. Point-in-time recovery. Test restores automatically.",AdminPanel
PROJ-211,"Implement email notification service (Phase 2)","As a user, I want email notifications for important events so that I stay informed even when not actively using the system.",Story,Major,Closed,Done,5,"Template-based emails. Queue for reliable delivery. Unsubscribe link in every email. SPF/DKIM for deliverability.",NotificationService
PROJ-212,"Add push notification support (Phase 2)","As a mobile user, I want push notifications so that I receive timely updates on my device.",Story,Major,Open,Unresolved,8,"Firebase Cloud Messaging for cross-platform. Web Push API for browser. Respect quiet hours per user timezone.",NotificationService
PROJ-213,"Implement notification batching (Phase 2)","As a user, I want notification digests so that I receive a summary instead of individual notifications for related events.",Story,Minor,Open,Unresolved,5,"Configurable batch window (5min/1hr/daily). Group by source/type. Smart summary generation.",NotificationService
PROJ-214,"Create notification center UI (Phase 2)","As a user, I want a centralized notification inbox so that I can review all notifications in one place.",Story,Major,Closed,Done,5,"Mark as read/unread. Filter by type. Clear all. Badge count on navigation icon. Persistent across sessions.",NotificationService
PROJ-215,"Implement user authentication module (Phase 3)","As a user, I want to log in with my credentials so that I can access my personalized dashboard securely.",Story,Major,Closed,Done,8,"Have we considered OAuth2 integration? The current implementation should support token-based auth for API consumers.",AuthService
PROJ-216,"Add password reset functionality (Phase 3)","As a user, I want to reset my password via email so that I can regain access if I forget my credentials.",Story,Major,Closed,Done,5,"Make sure the reset token expires after 24 hours. Also verify the email template renders correctly on mobile clients.",AuthService
PROJ-217,"Implement role-based access control (Phase 3)","As an admin, I want to assign roles to users so that I can control access to different system features.",Story,Major,Closed,Done,13,"Consider using a permission matrix rather than simple role hierarchy. This gives more flexibility for custom roles later.",AuthService
PROJ-218,"Add API rate limiting (Phase 3)","As a system administrator, I want to limit API requests per user so that the system remains stable under heavy usage.",Story,Major,Open,Unresolved,5,"We need to decide between sliding window and token bucket algorithms. Token bucket is more forgiving for burst traffic.",APIGateway
PROJ-219,"Create API documentation endpoint (Phase 3)","As a developer, I want auto-generated API docs so that I can understand available endpoints without reading source code.",Story,Major,Closed,Done,5,"Swagger/OpenAPI 3.0 format preferred. Include request/response examples for each endpoint.",APIGateway
PROJ-220,"Implement webhook notification system (Phase 3)","As an integrator, I want to receive webhook notifications for key events so that I can build automated workflows.",Story,Major,"In Progress",Unresolved,13,"Consider retry logic with exponential backoff for failed webhook deliveries. Also need a dead letter queue for permanent failures.",APIGateway
